"outcome","term","estimate","std.error","rep","seed"
"death","practice.typeCommunity",0.0658107487107894,0.0219137956928845,7,1007
"death","initial.stageIV",0.367315889542293,0.0224273453288721,7,1007
"death","on.ici",-0.155002512525968,0.0273776609364524,7,1007
"irae","(Intercept)",-5.7305872379743,0.1391435223329,7,1007
"irae","ns(month, df = 3)1",-0.484339896695905,0.07813524518351,7,1007
"irae","ns(month, df = 3)2",-0.0928595311041152,0.114915315516319,7,1007
"irae","ns(month, df = 3)3",-0.260161916866289,0.0854345342155558,7,1007
"irae","age",-0.00396283588147283,0.0016965152201752,7,1007
"irae","sexFemale",0.27199976125727,0.032038590206693,7,1007
"irae","ecog1",0.0374586108637765,0.0350827350195486,7,1007
"irae","ecog2",0.162995019228927,0.0617351666667218,7,1007
"irae","ecog3",0.59773621697492,0.0903433102401806,7,1007
"irae","cancer.typeBladder",-0.163615305928038,0.0657697941070203,7,1007
"irae","cancer.typeKidney",-0.0935757884712112,0.0639639532076358,7,1007
"irae","cancer.typeMelanoma",0.00603649062966036,0.059999718929025,7,1007
"irae","practice.typeCommunity",-0.140697956847124,0.0342666388208629,7,1007
"irae","tx.combo",0.203909508470872,0.0324470873779998,7,1007
"irae","pd.l1Low",-0.0548304877130818,0.037731998622239,7,1007
"irae","pd.l1High",0.104435564690727,0.0430205368015989,7,1007
"irae","on.ici",0.248930527237591,0.0495595517800981,7,1007
"death","(Intercept)",-8.80704480480867,0.0928288563671419,8,1008
"death","ns(month, df = 3)1",0.422575005764708,0.0468838849973169,8,1008
"death","ns(month, df = 3)2",0.642044621535569,0.0820082681532826,8,1008
"death","ns(month, df = 3)3",0.822042824930504,0.0423687284091139,8,1008
"death","age",0.0458889876708771,0.00106399999715315,8,1008
"death","sexFemale",0.0439488442915713,0.0195840356434959,8,1008
"death","ecog1",0.509996031830439,0.0229936347568025,8,1008
"death","ecog2",1.06787629297128,0.0298062942930153,8,1008
"death","ecog3",1.6223170159287,0.0414592302484879,8,1008
"death","cancer.typeBladder",0.347637553490731,0.0339247380883181,8,1008
"death","cancer.typeKidney",0.250455950880507,0.0349018529744114,8,1008
"death","cancer.typeMelanoma",-0.0791590998648701,0.0372449782212797,8,1008
"death","practice.typeCommunity",0.0495434323052198,0.0214023716993288,8,1008
"death","initial.stageIV",0.484400492740466,0.023226919560854,8,1008
"death","on.ici",-0.238142922729397,0.0271120331860612,8,1008
"irae","(Intercept)",-5.48413935800515,0.140219327687269,8,1008
"irae","ns(month, df = 3)1",-0.244816286428255,0.0798143744641768,8,1008
"irae","ns(month, df = 3)2",-0.801615301691405,0.113501726192125,8,1008
"irae","ns(month, df = 3)3",-0.531959781936802,0.0912212881025942,8,1008
"irae","age",-0.00605179068171404,0.00175133041496845,8,1008
"irae","sexFemale",0.250210985104603,0.0328167964473753,8,1008
"irae","ecog1",-0.0256519981486429,0.0361323083654998,8,1008
"irae","ecog2",0.0698195109868212,0.0611085105121277,8,1008
"irae","ecog3",-0.00960556657938881,0.117217988869647,8,1008
"irae","cancer.typeBladder",-0.259379489283515,0.0717660164352322,8,1008
"irae","cancer.typeKidney",-0.08040414932881,0.0640834825561574,8,1008
"irae","cancer.typeMelanoma",-0.0410977094333561,0.062702281759378,8,1008
"irae","practice.typeCommunity",-0.0508242489335083,0.0351708342146168,8,1008
"irae","tx.combo",0.298787750021684,0.0332418104176768,8,1008
"irae","pd.l1Low",-0.22918358660941,0.0414078058686332,8,1008
"irae","pd.l1High",0.313961717451527,0.0404524493130585,8,1008
"irae","on.ici",0.291283255079711,0.0510492840630733,8,1008
"death","(Intercept)",-9.38654399617555,0.0966203339291967,9,1009
"death","ns(month, df = 3)1",0.429700462713376,0.048043820620284,9,1009
"death","ns(month, df = 3)2",0.742258351613544,0.0826743137523066,9,1009
"death","ns(month, df = 3)3",0.851641603612234,0.043466989039609,9,1009
"death","age",0.0534873409609962,0.00109673225207321,9,1009
"death","sexFemale",0.0485909913270588,0.0200627116341881,9,1009
"death","ecog1",0.623331535612491,0.0237699300568721,9,1009
"death","ecog2",1.1536665017273,0.0307583310070586,9,1009
"death","ecog3",1.62831206685992,0.0429097846564583,9,1009
"death","cancer.typeBladder",0.385969433018267,0.0328648699296068,9,1009
"death","cancer.typeKidney",0.204294244751904,0.0372610762434364,9,1009
"death","cancer.typeMelanoma",0.0955811904876746,0.035770518804849,9,1009
"death","practice.typeCommunity",0.0398733088335754,0.0220260067463646,9,1009
"death","initial.stageIV",0.350045652502196,0.022916260994502,9,1009
"death","on.ici",-0.18101109283983,0.0276482234854099,9,1009
"irae","(Intercept)",-5.68331117016873,0.135518161166063,9,1009
"irae","ns(month, df = 3)1",-0.228611421914372,0.0760469876239171,9,1009
"irae","ns(month, df = 3)2",-0.554567117532323,0.109635024458027,9,1009
"irae","ns(month, df = 3)3",-0.395381850729115,0.085440493614898,9,1009
"irae","age",-0.0035331337722985,0.00167336683146135,9,1009
"irae","sexFemale",0.24183036453732,0.0313705834809373,9,1009
"irae","ecog1",0.073891648859548,0.0339699461274742,9,1009
"irae","ecog2",0.0634989997666593,0.0599987124839229,9,1009
"irae","ecog3",-0.0997325226105572,0.117088539843196,9,1009
"irae","cancer.typeBladder",-0.0558861979406709,0.0631031000736505,9,1009
